地球儀,ちきゅうぎ
力添え,ちからぞえ
力強い,ちからづよい
聴覚,ちょうかく
沈没,ちんぼつ
直観的,ちょっかんてき
長方形,ちょうほうけい
縮れる,ちぢれる
調停,ちょうてい
駐車場,ちゅうしゃじょう
チャイム,ちゃいむ
中古,ちゅうこ
近づく,ちかづく
知事,ちじ
ちゅうちょ,ちゅうちょ
散らばる,ちらばる
中央,ちゅうおう
貯水,ちょすい
ちょうだい,ちょうだい
緻密,ちみつ
直訳,ちょくやく
散らす,ちらす
ちゃぶ台,ちゃぶだい
注意深い,ちゅういぶかい
地層,ちそう
直接的,ちょくせつてき
地球,ちきゅう
小さい,ちいさい
力持ち,ちからもち
地上,ちじょう
長寿,ちょうじゅ
沈黙,ちんもく
チョップ,ちょっぷ
直行,ちょっこう
中立,ちゅうりつ
違う,ちがう
知性,ちせい
地質,ちしつ
ちゃんと,ちゃんと
知能,ちのう
ちくちく,ちくちく
中継放送,ちゅうけいほうそう
貯蓄,ちょちく
近寄る,ちかよる
町内会,ちょうないかい
調節,ちょうせつ
直営,ちょくえい
ちかちか,ちかちか
地学,ちがく
知力,ちりょく
地形,ちけい
チョコ,ちょこ
中毒,ちゅうどく
知識,ちしき
著者,ちょしゃ
陳述,ちんじゅつ
注入,ちゅうにゅう
中略,ちゅうりゃく
チャンネル,ちゃんねる
直列,ちょくれつ
中絶,ちゅうぜつ
徴兵,ちょうへい
中部,ちゅうぶ
中国地方,ちゅうごくちほう
茶漬け,ちゃづけ
茶の間,ちゃのま
チャーミング,ちゃーみんぐ
賃貸,ちんたい
仲介,ちゅうかい
庁舎,ちょうしゃ
ちなむ,ちなむ
