精力的,せいりょくてき
戦没,せんぼつ
政治家,せいじか
先決,せんけつ
先天的,せんてんてき
性別,せいべつ
占有,せんゆう
接続詞,せつぞくし
洗脳,せんのう
制服,せいふく
宣教師,せんきょうし
説,せつ
整理,せいり
精神力,せいしんりょく
センチメンタル,せんちめんたる
整形,せいけい
せがむ,せがむ
セミナー,せみなー
整形外科,せいけいげか
先方,せんぽう
洗車,せんしゃ
制御,せいぎょ
設計,せっけい
センチメートル,せんちめーとる
せき髄,せきずい
性欲,せいよく
世間的,せけんてき
石碑,せきひ
世相,せそう
繊細,せんさい
生理的,せいりてき
赤道,せきどう
生産的,せいさんてき
性行為,せいこうい
先週,せんしゅう
宣告,せんこく
線路,せんろ
背筋,せすじ
せみ,せみ
成立,せいりつ
世界記録,せかいきろく
先発投手,せんぱつとうしゅ
世話,せわ
整備,せいび
先導,せんどう
センサー,せんさー
接種,せっしゅ
勢力,せいりょく
世紀,せいき
成長,せいちょう
せん索,せんさく
セーフティー,せーふてぃー
世話役,せわやく
成績表,せいせきひょう
政策,せいさく
先発,せんぱつ
歳暮,せいぼ
静電気,せいでんき
正解,せいかい
千差万別,せんさばんべつ
西洋,せいよう
先輩,せんぱい
成人の日,せいじんのひ
静寂,せいじゃく
政治活動,せいじかつどう
切実,せつじつ
清掃車,せいそうしゃ
設立,せつりつ
せき込む,せきこむ
成功,せいこう
