樹木,じゅもく
重症,じゅうしょう
実用,じつよう
時間割,じかんわり
自前,じまえ
充実,じゅうじつ
地肌,じはだ
自動詞,じどうし
地べた,じべた
磁石,じしゃく
自爆,じばく
女優,じょゆう
熟知,じゅくち
浄るり,じょうるり
次女,じじょ
実地,じっち
巡回,じゅんかい
実力,じつりょく
自滅,じめつ
女王,じょおう
じい,じい
受益,じゅえき
ジョッキ,じょっき
上層,じょうそう
じゃじゃ馬,じゃじゃうま
耳鼻科,じびか
情勢,じょうせい
自腹,じばら
十,じゅう
実家,じっか
醸造,じょうぞう
重税,じゅうぜい
上級,じょうきゅう
女性的,じょせいてき
熟する,じゅくする
邪道,じゃどう
自発,じはつ
字幕,じまく
自明,じめい
上昇気流,じょうしょうきりゅう
自由業,じゆうぎょう
条約,じょうやく
仁義,じんぎ
自炊,じすい
人工呼吸,じんこうこきゅう
自転車,じてんしゃ
順応,じゅんのう
上空,じょうくう
地主,じぬし
人種差別,じんしゅさべつ
次回,じかい
人家,じんか
実質,じっしつ
十月,じゅうがつ
字引,じびき
実話,じつわ
ジュース,じゅーす
序曲,じょきょく
純度,じゅんど
熟睡,じゅくすい
人材,じんざい
実用化,じつようか
常任理事国,じょうにんりじこく
地味,じみ
乗客,じょうきゃく
重力,じゅうりょく
人道,じんどう
樹立,じゅりつ
自分勝手,じぶんかって
神社,じんじゃ
自業自得,じごうじとく
じりじり,じりじり
人種,じんしゅ
自害,じがい
ジャム,じゃむ
除雪,じょせつ
実,じつ
除外,じょがい
持病,じびょう
事業,じぎょう
序列,じょれつ
人体,じんたい
実際,じっさい
自動販売機,じどうはんばいき
自治体,じちたい
潤滑,じゅんかつ
自発的,じはつてき
乗用車,じょうようしゃ
巡査,じゅんさ
受賞,じゅしょう
従来,じゅうらい
自決,じけつ
弱者,じゃくしゃ
実業家,じつぎょうか
重点的,じゅうてんてき
蒸気,じょうき
実費,じっぴ
時給,じきゅう
上下,じょうか
人格,じんかく
女帝,じょてい
情報処理,じょうほうしょり
自治会,じちかい
上,じょう
重要視,じゅうようし
上流,じょうりゅう
準急,じゅんきゅう
蛇口,じゃぐち
人命,じんめい
除湿,じょしつ
常駐,じょうちゅう
尋常,じんじょう
住民票,じゅうみんひょう
受諾,じゅだく
女中,じょちゅう
磁気テープ,じきてーぷ
実況放送,じっきょうほうそう
時代遅れ,じだいおくれ
重軽傷,じゅうけいしょう
塾,じゅく
事故,じこ
純愛,じゅんあい
ＪＲ,じぇーあーる
上達,じょうたつ
ジャンパー,じゃんぱー
自動的,じどうてき
上位,じょうい
自宅,じたく
需要,じゅよう
自営,じえい
実施,じっし
常時,じょうじ
重要,じゅうよう
迅速,じんそく
数珠,じゅず
充足,じゅうそく
住所,じゅうしょ
ジッパー,じっぱー
充血,じゅうけつ
ジャパニーズ,じゃぱにーず
ジーンズ,じーんず
じゃらじゃら,じゃらじゃら
時刻表,じこくひょう
腎臓,じんぞう
女学校,じょがっこう
ジャズ,じゃず
人脈,じんみゃく
上陸,じょうりく
助教授,じょきょうじゅ
地道,じみち
辞表,じひょう
助手席,じょしゅせき
実用的,じつようてき
人事,じんじ
自給自足,じきゅうじそく
乗馬,じょうば
実務,じつむ
自賠責,じばいせき
時代,じだい
女装,じょそう
自動車,じどうしゃ
持続,じぞく
寺社,じしゃ
実証,じっしょう
常識的,じょうしきてき
自室,じしつ
ジャンル,じゃんる
授業,じゅぎょう
丈夫,じょうぶ
実情,じつじょう
自由,じゆう
受験生,じゅけんせい
乗用,じょうよう
ジャガー,じゃがー
柔道,じゅうどう
自力,じりき
時差,じさ
除籍,じょせき
常習,じょうしゅう
重要性,じゅうようせい
時期,じき
受理,じゅり
授受,じゅじゅ
熟語,じゅくご
人工衛星,じんこうえいせい
時報,じほう
次世代,じせだい
持久力,じきゅうりょく
弱小,じゃくしょう
人物,じんぶつ
授与,じゅよ
潤滑油,じゅんかつゆ
実践的,じっせんてき
譲渡,じょうと
自主的,じしゅてき
ジェスチャー,じぇすちゃー
順調,じゅんちょう
女医,じょい
定規,じょうぎ
助手,じょしゅ
事務局,じむきょく
事務,じむ
情報,じょうほう
ジューサー,じゅーさー
順当,じゅんとう
地元,じもと
重量,じゅうりょう
神宮,じんぐう
実験台,じっけんだい
自問自答,じもんじとう
ジレンマ,じれんま
人文科学,じんぶんかがく
女子,じょし
上等,じょうとう
人件費,じんけんひ
軸,じく
助監督,じょかんとく
除夜の鐘,じょやのかね
ジェットコースター,じぇっとこーすたー
実験室,じっけんしつ
時効,じこう
人為的,じんいてき
慈悲,じひ
渋滞,じゅうたい
重労働,じゅうろうどう
人類,じんるい
実質的,じっしつてき
実写,じっしゃ
