紙袋,かみぶくろ
缶詰め,かんづめ
書き分ける,かきわける
感想,かんそう
駆り立てる,かりたてる
カムフラージュ,かむふらーじゅ
加害者,かがいしゃ
勝ち負け,かちまけ
枯れる,かれる
金,かね
カーリング,かーりんぐ
肩身,かたみ
かさばる,かさばる
環境,かんきょう
かむ,かむ
替え,かえ
買い求める,かいもとめる
勝手,かって
柿,かき
交わす,かわす
かび,かび
家庭,かてい
家業,かぎょう
かま,かま
感覚器,かんかくき
書き加える,かきくわえる
カムバック,かむばっく
怪物,かいぶつ
替え歌,かえうた
カルタ,かるた
会議室,かいぎしつ
神頼み,かみだのみ
カルシウム,かるしうむ
貸し切る,かしきる
悲しみ,かなしみ
科目,かもく
絡み合う,からみあう
顔出し,かおだし
科学的,かがくてき
確執,かくしつ
科学者,かがくしゃ
かわいがる,かわいがる
からから,からから
片方,かたほう
関西,かんさい
感情的,かんじょうてき
顔付き,かおつき
壊滅,かいめつ
固まる,かたまる
掛け合う,かけあう
加入,かにゅう
掛け軸,かけじく
数え年,かぞえどし
完全失業者,かんぜんしつぎょうしゃ
片側,かたがわ
閣僚,かくりょう
家庭科,かていか
渇く,かわく
数え,かぞえ
カヌー,かぬー
傍ら,かたわら
監視,かんし
解除,かいじょ
果汁,かじゅう
抱え込む,かかえこむ
確実,かくじつ
片付ける,かたづける
かりかり,かりかり
家畜,かちく
街道,かいどう
拡張,かくちょう
考え出す,かんがえだす
加盟,かめい
門松,かどまつ
歓迎,かんげい
代わり映え,かわりばえ
かます,かます
各駅停車,かくえきていしゃ
籠,かご
囲い,かこい
囲む,かこむ
下級,かきゅう
各国,かっこく
片隅,かたすみ
壁紙,かべがみ
課題,かだい
乾かす,かわかす
開放的,かいほうてき
カウンター,かうんたー
可能性,かのうせい
欠かす,かかす
カセットテープ,かせっとてーぷ
語り伝える,かたりつたえる
借り手,かりて
空っぽ,からっぽ
神棚,かみだな
考え直す,かんがえなおす
鏡,かがみ
隠す,かくす
艦隊,かんたい
かわいそう,かわいそう
カロリー,かろりー
カウンセラー,かうんせらー
辛い,からい
化石,かせき
絡む,からむ
乾杯,かんぱい
完封,かんぷう
髪の毛,かみのけ
買い出し,かいだし
駆け引き,かけひき
加熱,かねつ
かぶる,かぶる
角煮,かくに
快速,かいそく
かなう,かなう
海外貿易,かいがいぼうえき
考え,かんがえ
改悪,かいあく
カップル,かっぷる
隔月,かくげつ
活力,かつりょく
完全燃焼,かんぜんねんしょう
絵画,かいが
家計簿,かけいぼ
金持ち,かねもち
紙切れ,かみきれ
怪力,かいりき
韓国,かんこく
型式,かたしき
会社,かいしゃ
考える,かんがえる
簡略,かんりゃく
考え事,かんがえごと
掛け替え,かけがえ
係長,かかりちょう
買いかぶる,かいかぶる
改装,かいそう
カルチャー,かるちゃー
カルチャーショック,かるちゃーしょっく
カントリー,かんとりー
硬い,かたい
かしこまる,かしこまる
通い,かよい
カジノ,かじの
株価,かぶか
片仮名,かたかな
火曜,かよう
開票,かいひょう
解約,かいやく
確定申告,かくていしんこく
陥没,かんぼつ
カバー,かばー
改札口,かいさつぐち
返し,かえし
格好,かっこう
株主総会,かぶぬしそうかい
貸し出す,かしだす
感覚的,かんかくてき
還暦,かんれき
カンニング,かんにんぐ
感銘,かんめい
買い取り,かいとり
確定,かくてい
からす,からす
買い手,かいて
化学兵器,かがくへいき
書き込み,かきこみ
換気,かんき
家庭教育,かていきょういく
会話,かいわ
完了,かんりょう
かに,かに
買い込む,かいこむ
解消,かいしょう
形作る,かたちづくる
カルチャーセンター,かるちゃーせんたー
開業,かいぎょう
片道,かたみち
勝ち越す,かちこす
カプセル,かぷせる
かんがみる,かんがみる
慣用句,かんようく
過失,かしつ
貝殻,かいがら
借り物,かりもの
かわず,かわず
獲得,かくとく
カラオケ,からおけ
買い方,かいかた
傾ける,かたむける
簡素,かんそ
肝臓,かんぞう
会長,かいちょう
金網,かなあみ
家屋,かおく
カリウム,かりうむ
間接,かんせつ
快適,かいてき
緩和,かんわ
化合物,かごうぶつ
かたくり粉,かたくりこ
カット,かっと
変わり者,かわりもの
カレー粉,かれーこ
かまくら,かまくら
漢語,かんご
担ぐ,かつぐ
開口,かいこう
彼,かれ
考え深い,かんがえぶかい
開国,かいこく
語り継ぐ,かたりつぐ
川岸,かわぎし
火事,かじ
感慨,かんがい
カセット,かせっと
垣根,かきね
歌舞伎,かぶき
悲しい,かなしい
科学,かがく
会計士,かいけいし
感動的,かんどうてき
飾る,かざる
解決,かいけつ
架空,かくう
かたかた,かたかた
肩書き,かたがき
解読,かいどく
カレンダー,かれんだー
介入,かいにゅう
課税,かぜい
化学物質,かがくぶっしつ
開発途上国,かいはつとじょうこく
絡み,からみ
書留,かきとめ
活性化,かっせいか
か細い,かぼそい
監督,かんとく
空手,からて
格上げ,かくあげ
感度,かんど
限り無い,かぎりない
貝柱,かいばしら
改造,かいぞう
過半数,かはんすう
菓子,かし
彼氏,かれし
会場,かいじょう
家庭教師,かていきょうし
限る,かぎる
カトリック,かとりっく
観察,かんさつ
香る,かおる
活用,かつよう
怪獣,かいじゅう
かみそり,かみそり
亀,かめ
過密,かみつ
海峡,かいきょう
家族,かぞく
神様,かみさま
傘,かさ
加速度,かそくど
感激,かんげき
紙,かみ
絡める,からめる
会合,かいごう
顔色,かおいろ
構える,かまえる
風邪,かぜ
買う,かう
観客,かんきゃく
掠れる,かすれる
核家族,かくかぞく
駆け上がる,かけあがる
稼ぎ,かせぎ
歌手,かしゅ
渦中,かちゅう
空,から
関税,かんぜい
兼ね備える,かねそなえる
括弧,かっこ
感じる,かんじる
下降,かこう
家庭裁判所,かていさいばんしょ
かわいらしい,かわいらしい
革靴,かわぐつ
カーペット,かーぺっと
買い物,かいもの
鑑別,かんべつ
官庁,かんちょう
肩幅,かたはば
刀,かたな
かわいい,かわいい
雷,かみなり
会費,かいひ
かけら,かけら
重ね着,かさねぎ
カクテル,かくてる
価格,かかく
語り合う,かたりあう
感ずる,かんずる
慣用,かんよう
核融合,かくゆうごう
陰り,かげり
借りる,かりる
過剰,かじょう
体,からだ
回数,かいすう
からし,からし
飼い主,かいぬし
片付く,かたづく
冠,かんむり
彼女,かのじょ
解釈,かいしゃく
神主,かんぬし
過去,かこ
活気,かっき
寒冷,かんれい
箇条書き,かじょうかき
葛藤,かっとう
勝つ,かつ
貸し借り,かしかり
片手,かたて
格下げ,かくさげ
壁,かべ
解析,かいせき
かばう,かばう
懐中電灯,かいちゅうでんとう
会食,かいしょく
カーニバル,かーにばる
確率,かくりつ
金具,かなぐ
川,かわ
勘違い,かんちがい
カレーライス,かれーらいす
間食,かんしょく
偏り,かたより
覚せい剤,かくせいざい
勝ち残る,かちのこる
カカオ,かかお
掛け持ち,かけもち
下腹部,かふくぶ
影絵,かげえ
環境庁,かんきょうちょう
カレー,かれー
絡まる,からまる
海洋,かいよう
悲しむ,かなしむ
輝き,かがやき
解答,かいとう
化学肥料,かがくひりょう
管轄,かんかつ
かなえる,かなえる
かみ殺す,かみころす
兼ねる,かねる
カート,かーと
看護婦,かんごふ
歌集,かしゅう
かがむ,かがむ
開通,かいつう
かかし,かかし
開発,かいはつ
各種,かくしゅ
改正,かいせい
過不足,かふそく
関東地方,かんとうちほう
書く,かく
拡充,かくじゅう
醸し出す,かもしだす
鬘,かつら
乾き,かわき
片足,かたあし
家族制度,かぞくせいど
観葉植物,かんようしょくぶつ
構え,かまえ
金物,かなもの
改良,かいりょう
カード,かーど
感受性,かんじゅせい
冠婚葬祭,かんこんそうさい
格差,かくさ
漢字,かんじ
カメラ,かめら
監獄,かんごく
科学捜査,かがくそうさ
カボチャ,かぼちゃ
開会,かいかい
傾く,かたむく
帰り道,かえりみち
考え付く,かんがえつく
駆け回る,かけまわる
仮想,かそう
角度,かくど
貨幣,かへい
書き込む,かきこむ
カップケーキ,かっぷけーき
華道,かどう
過労,かろう
課長,かちょう
化学変化,かがくへんか
方々,かたがた
歌唱,かしょう
貸す,かす
過疎,かそ
各自,かくじ
火星,かせい
カルテ,かるて
数える,かぞえる
カラフル,からふる
皆無,かいむ
解明,かいめい
戒律,かいりつ
花粉症,かふんしょう
解説,かいせつ
可能,かのう
枯れ葉,かれは
顔合わせ,かおあわせ
感覚,かんかく
勝ち取る,かちとる
看病,かんびょう
歌劇,かげき
開花,かいか
かみ合う,かみあう
駆け抜ける,かけぬける
カッター,かったー
隔離,かくり
かじかむ,かじかむ
買い占める,かいしめる
格闘,かくとう
解体,かいたい
可決,かけつ
活発,かっぱつ
家具,かぐ
空回り,からまわり
簡易,かんい
患者,かんじゃ
顔触れ,かおぶれ
カテゴリー,かてごりー
カフェテリア,かふぇてりあ
看護師,かんごし
かなた,かなた
かすか,かすか
掲げる,かかげる
関与,かんよ
カンパニー,かんぱにー
抱える,かかえる
カッティング,かってぃんぐ
掛かる,かかる
介護,かいご
絡み付く,からみつく
カリキュラム,かりきゅらむ
構う,かまう
解放,かいほう
慣習,かんしゅう
形,かたち
カシミア,かしみあ
瓦,かわら
改革,かいかく
軽い,かるい
各地,かくち
かぶせる,かぶせる
数,かず
鑑賞,かんしょう
感情移入,かんじょういにゅう
カタログ,かたろぐ
確保,かくほ
完成,かんせい
重ね,かさね
書き留める,かきとめる
寒中,かんちゅう
家内,かない
からくり,からくり
関係,かんけい
賢い,かしこい
加速,かそく
蚊帳,かや
カウント,かうんと
風邪薬,かぜぐすり
海賊,かいぞく
完結,かんけつ
観光,かんこう
開封,かいふう
カップ,かっぷ
かき回す,かきまわす
果実酒,かじつしゅ
稼ぐ,かせぐ
買い足す,かいたす
か弱い,かよわい
輝く,かがやく
下部,かぶ
蚊取り線香,かとりせんこう
完売,かんばい
カナダ,かなだ
重なり合う,かさなりあう
駆け巡る,かけめぐる
株式,かぶしき
過保護,かほご
片目,かため
活動,かつどう
変わり種,かわりだね
輝かしい,かがやかしい
滑走路,かっそうろ
幹部,かんぶ
カツレツ,かつれつ
海外,かいがい
開拓,かいたく
カステラ,かすてら
型紙,かたがみ
返す,かえす
かぎ,かぎ
鑑定,かんてい
開閉,かいへい
書き直す,かきなおす
駆け込む,かけこむ
怪奇,かいき
解剖,かいぼう
管理,かんり
陰干し,かげぼし
介する,かいする
かつお,かつお
カウンセリング,かうんせりんぐ
固める,かためる
顔,かお
階級,かいきゅう
株主,かぶぬし
覚悟,かくご
感情,かんじょう
帰る,かえる
仮,かり
体付き,からだつき
回,かい
片思い,かたおもい
箇所,かしょ
隠れる,かくれる
火山帯,かざんたい
化学反応,かがくはんのう
火力,かりょく
かも,かも
感じ取る,かんじとる
カンフー,かんふー
開幕,かいまく
かさかさ,かさかさ
顔見知り,かおみしり
飾り,かざり
掛け,かけ
買い手市場,かいてしじょう
兼ね合い,かねあい
各駅,かくえき
書き取る,かきとる
果樹,かじゅ
閣下,かっか
官能,かんのう
貫徹,かんてつ
かざす,かざす
鍵穴,かぎあな
数の子,かずのこ
蒲鉾,かまぼこ
河川敷,かせんしき
考え込む,かんがえこむ
片付け,かたづけ
貨物列車,かもつれっしゃ
貸し出し,かしだし
変わる,かわる
かゆ,かゆ
活路,かつろ
隠れ,かくれ
海中,かいちゅう
海路,かいろ
関数,かんすう
下流,かりゅう
課する,かする
片手間,かたてま
解雇,かいこ
貸家,かしや
海水,かいすい
香り,かおり
革命,かくめい
会議,かいぎ
カラー,からー
かゆい,かゆい
掛け声,かけごえ
貫通,かんつう
巻末,かんまつ
過酷,かこく
代わり,かわり
家財,かざい
顧みる,かえりみる
カナリア,かなりあ
片言,かたこと
価値,かち
滑走,かっそう
過渡期,かとき
活躍,かつやく
肩,かた
